1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1.0938644,1.0537786,1.0611236,1.072052,1.0851147,1.0847682,1.0798725,1.0729513,1.0778315,1.0766174,1.0798637,1.0777475,1.0876514,1.0745355,1.0824388,1.0761266,1.0687217,1.0687217,1.0735646,1.0717047,1.0768799,1.0748166,1.0725043,1.0704726,1.0682049,1.0672674,1.065841,1.0480373,1.0687391,1.079052,1.0656468,1.0728973,1.0732793,1.0784613,1.0745209,1.080285,1.0735391
1.0951102,1.0550324,1.0627433,1.0732841,1.0863022,1.0860728,1.0813485,1.0740083,1.0791167,1.0778389,1.0811634,1.0790652,1.0887769,1.0755144,1.0836138,1.0766531,1.0690631,1.0690631,1.0753698,1.0729293,1.0783828,1.0761782,1.0740113,1.0717604,1.0704525,1.0688325,1.0674493,1.0480293,1.0702139,1.0797886,1.0695888,1.0741193,1.0749165,1.0793217,1.0763631,1.0816163,1.0754818
1.0959545,1.0558786,1.0637267,1.073923,1.0869932,1.0867941,1.0821602,1.0743377,1.0799077,1.0782866,1.0818657,1.0796903,1.0895739,1.0761921,1.0844665,1.0775996,1.0710312,1.0710312,1.076287,1.0739486,1.0789765,1.0769182,1.0743943,1.0724554,1.0713326,1.0697515,1.0684859,1.0490997,1.0712186,1.0819074,1.0703218,1.0744642,1.0760304,1.0818346,1.0771495,1.0824264,1.0763412
1.0964732,1.0564448,1.0646247,1.0745075,1.0874817,1.0872587,1.0826759,1.0748016,1.0804976,1.0785322,1.0821818,1.0801463,1.090127,1.0764751,1.0848194,1.0785232,1.0717659,1.0717659,1.076982,1.0743829,1.0800804,1.0771992,1.0746225,1.0732507,1.0715803,1.0698761,1.0684742,1.0496798,1.0713428,1.0819733,1.0722336,1.0752395,1.0765644,1.0821269,1.0769193,1.0827806,1.0763675
1.0969613,1.0570793,1.0652857,1.0748942,1.0877784,1.0876219,1.0829167,1.0752445,1.0807844,1.078815,1.0825673,1.0804075,1.0902194,1.0769914,1.0851753,1.0790976,1.0719614,1.0719614,1.0773228,1.0746266,1.0800902,1.0775176,1.0751919,1.0733266,1.0723724,1.070374,1.0691681,1.0492859,1.0717576,1.0825555,1.0699816,1.0751576,1.0771931,1.0828608,1.0774249,1.0828321,1.076983
1.0972881,1.0575227,1.0656844,1.0751569,1.0880183,1.0878311,1.0831659,1.0755045,1.0809534,1.0790979,1.0828056,1.0805956,1.0905415,1.0772001,1.0854223,1.0795069,1.0722138,1.0722138,1.07772,1.0749247,1.0801461,1.0777869,1.0756115,1.0735512,1.0726918,1.0706325,1.0696776,1.0494497,1.072253,1.0830439,1.0716194,1.0750158,1.0775844,1.0833762,1.077756,1.0830711,1.0773958
1.0974655,1.0577066,1.0661272,1.0753995,1.0882633,1.0879982,1.0833956,1.0757922,1.0811712,1.079365,1.0831146,1.0807317,1.0907471,1.0773505,1.0855731,1.0798842,1.071243,1.071243,1.0778807,1.0749027,1.08064,1.0781029,1.0753247,1.0738926,1.0723046,1.0705343,1.0693904,1.0494211,1.0722264,1.0813658,1.0692338,1.0750946,1.0776178,1.0834471,1.0774397,1.0830737,1.0766038
1.0974988,1.0579443,1.066329,1.0756208,1.0884857,1.0881088,1.0835146,1.0758859,1.0814216,1.0796471,1.0831774,1.0808195,1.0908767,1.0774466,1.0856259,1.0799831,1.0725707,1.0725707,1.0780894,1.074983,1.0806001,1.0784619,1.0758957,1.0738957,1.0730197,1.0709518,1.0698885,1.0490589,1.072341,1.0831547,1.0705485,1.0752398,1.0780863,1.0838689,1.0778421,1.0830258,1.0775483
1.097587,1.0581003,1.0666022,1.0757509,1.0886388,1.0882163,1.0837516,1.0760679,1.081539,1.0798281,1.0833608,1.0809715,1.0910354,1.077704,1.0858023,1.080176,1.0727148,1.0727148,1.0782987,1.0752143,1.0806184,1.0786763,1.0762185,1.0739754,1.073298,1.0712485,1.0701967,1.049107,1.0724788,1.0834111,1.0731639,1.0752634,1.0783074,1.0841404,1.0779557,1.0830935,1.0778636
